,permit,permit_type_code,agentname,permit_curr_status,permit_address,permit_desc_purpose,permit_start_date,permit_end_date,permit_received_date,permit_appr_date
Print,17TOC-3261,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/13/17 8:00,6/16/17 17:00,6/5/17 8:22,6/7/17 9:08
Print,17TOC-3270,TempOccup,"Sonic Telecom, LLC",VOID,,,6/13/17 8:00,6/16/17 17:00,6/5/17 11:17,
Print,17TOC-3453,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/15/17 7:00,6/21/17 17:00,6/12/17 6:48,6/13/17 8:00
Print,17TOC-3456,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/19/17 7:00,6/23/17 17:00,6/12/17 9:37,6/15/17 8:13
Print,17TOC-3545,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/21/17 8:00,6/23/17 17:00,6/14/17 6:45,6/19/17 8:42
Print,17TOC-3546,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/22/17 8:00,6/23/17 17:00,6/14/17 7:08,6/19/17 13:02
Print,17TOC-3547,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/21/17 8:00,6/23/17 17:00,6/14/17 7:44,6/19/17 8:45
Print,17TOC-3548,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/19/17 8:00,6/22/17 5:00,6/14/17 8:00,6/19/17 12:28
Print,17TOC-3551,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/21/17 8:00,6/23/17 17:00,6/14/17 8:13,6/19/17 8:46
Print,17TOC-3555,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/21/17 8:00,6/23/17 17:00,6/14/17 8:19,6/19/17 12:59
Print,17TOC-3740,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/5/17 7:00,7/7/17 17:00,6/21/17 13:38,6/22/17 15:55
Print,17TOC-3869,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/3/17 8:00,7/6/17 17:00,6/27/17 10:58,6/30/17 12:32
Print,17TOC-3871,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/3/17 8:00,7/6/17 17:00,6/27/17 11:08,6/30/17 8:04
Print,17TOC-3875,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/3/17 8:00,7/6/17 17:00,6/27/17 11:20,6/30/17 12:34
Print,17TOC-3966,TempOccup,"Sonic Telecom, LLC",CLOSED,1209 YORK ST,,7/10/17 7:00,7/12/17 17:00,7/3/17 6:38,7/5/17 8:12
Print,17TOC-3975,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/12/17 8:00,7/14/17 17:00,7/5/17 6:36,7/6/17 11:02
